label,area,intensity_max,intensity_mean,intensity_min,total_intensity,total_volume
1,19428.0,140.0,114.21247683755405,101.0,2218920,19428
2,19396.0,152.0,113.25005155702206,99.0,2196598,19396
3,13712.0,132.0,111.17918611435239,100.0,1524489,13712
4,16692.0,133.0,111.67301701413851,101.0,1864046,16692
5,14068.0,145.0,115.09255046914984,101.0,1619122,14068
6,14996.0,136.0,111.33995732195253,100.0,1669654,14996
7,16568.0,137.0,114.5172621921777,100.0,1897322,16568
8,10528.0,162.0,118.79910714285714,102.0,1250717,10528
9,10156.0,151.0,117.67585663647105,101.0,1195116,10156
10,11840.0,155.0,116.27930743243243,101.0,1376747,11840
11,21936.0,135.0,111.72228300510577,99.0,2450740,21936
12,13260.0,149.0,115.42021116138763,101.0,1530472,13260
13,13132.0,143.0,114.81609808102345,100.0,1507765,13132
14,21600.0,144.0,114.09902777777778,100.0,2464539,21600
15,18796.0,133.0,112.65811874866993,100.0,2117522,18796
16,14240.0,149.0,119.09747191011236,101.0,1695948,14240
17,12436.0,142.0,112.57856223866195,101.0,1400027,12436
18,15496.0,142.0,111.2465152297367,99.0,1723876,15496
19,16660.0,130.0,111.91890756302521,100.0,1864569,16660
20,15200.0,159.0,117.32151315789474,100.0,1783287,15200
21,19056.0,140.0,111.61308774139378,99.0,2126899,19056
22,17008.0,145.0,115.56920272812793,98.0,1965601,17008
23,11532.0,143.0,115.13163371488034,101.0,1327698,11532
24,12296.0,149.0,114.90078074170462,101.0,1412820,12296
25,15916.0,137.0,111.8089972354863,100.0,1779552,15916
26,6512.0,171.0,124.00414619164619,101.0,807515,6512
27,19256.0,146.0,114.16239094308267,99.0,2198311,19256
28,10832.0,145.0,113.56333087149187,100.0,1230118,10832
29,11860.0,132.0,112.45556492411467,100.0,1333723,11860
30,8404.0,136.0,114.31949071870538,98.0,960741,8404
31,9712.0,132.0,111.90218286655684,100.0,1086794,9712
32,15408.0,137.0,113.77622014537903,100.0,1753064,15408
33,3236.0,166.0,123.54202719406675,101.0,399782,3236
34,15164.0,151.0,115.25903455552624,100.0,1747788,15164
35,11792.0,170.0,115.63941655359565,99.0,1363620,11792
36,4116.0,176.0,125.63726919339165,102.0,517123,4116
37,6880.0,183.0,122.42790697674418,101.0,842304,6880
