LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_1,1,1,721,0,0,0,0,0,86400.0,0.0,86400.0,139.4500622638022,471.2003853014671,334.2216266735075,0.0,0.005814154857582665,0.05673754283092117,1.9038094021964027E-4,0.004946948615102025,0.0043506628462498505,0.9028902367976767,502.3429796951421,139.4500622638022,0.277599305455469,0.0016140053502754885,0.2775993054554689,0.010989924123053144
Track_4,4,4,721,0,0,0,0,0,86400.0,0.0,86400.0,75.61457585446121,591.8212089912657,485.8106013850753,0.0,0.004549787612171133,0.03949299508235847,3.6519083067282777E-4,0.0038274297957269837,0.003592384614698364,0.9142763145918985,393.1016496915861,77.80372252253879,0.1923537484866466,8.75168702019227E-4,0.19235374848664671,0.013350245205817362
Track_8,8,8,721,0,0,0,0,0,86400.0,0.0,86400.0,47.35670134893295,199.82129344134208,84.74560613332392,0.0,0.0046156086283548605,0.03208374747334019,1.4474490618093293E-4,0.003991680334810592,0.0032895669289164445,0.9127813271775159,398.7885854898596,50.321499831703896,0.11875139628372622,5.481099693163536E-4,0.11875139628372612,0.012995861697843426
Track_17,17,17,721,0,0,0,0,0,86400.0,0.0,86400.0,29.088541376579073,420.13359013011564,182.88122460869445,0.0,0.005210673268777761,0.04442264314339371,1.7920504708247747E-4,0.0043071276756417335,0.004189516069260481,0.9127678146144057,450.20217042239875,43.45857838772887,0.0646121749019712,3.366729325992948E-4,0.06461217490197123,0.012334041345789132
Track_23,23,23,721,0,0,0,0,0,86400.0,0.0,86400.0,76.98669107539459,283.51066512897194,56.64126083451291,0.0,0.004933644795825487,0.1094849077626195,1.1440508928821938E-4,0.003975304273410733,0.005871408736357981,0.9065830081742613,426.2669103593219,80.48298710114005,0.18060677290315266,8.910496652244744E-4,0.1806067729031526,0.013140722500197401
Track_26,26,26,721,0,0,0,0,0,86400.0,0.0,86400.0,71.50073754523815,244.43027054587245,134.27687742693647,0.0,0.005414298685051995,0.055817633713382865,8.130714589483019E-5,0.0044093671774749444,0.0050535576822743926,0.9026575689507589,467.79540638849215,92.1293959508475,0.1528461728541614,8.275548326995157E-4,0.15284617285416136,0.012153957636946454
Track_28,28,28,721,0,0,0,0,0,86400.0,0.0,86400.0,71.88655100320567,339.13849287593774,114.50768055035041,0.0,0.005116160154175735,0.03461122849854426,1.430298251047976E-4,0.004416589988392983,0.003718953372793188,0.9075707942867411,442.0362373207835,78.07327882304499,0.1626259227951892,8.320202662408064E-4,0.1626259227951892,0.012678906214517269
